"ANGER" "DISGUST" "FEAR" "JOY" "SADNESS" "SURPRISE" "Date" "Price" "TweetCnt"
"1" 13.213 3.09234 2.06784 13.6562 1.72771 7.34084 "20160610" 85245.5 70
"2" 7.34084 3.09234 2.06784 26.2869 1.72771 2.78696 "20160611" 0 101
"3" 1.46872 3.09234 2.06784 13.6562 7.34084 7.34084 "20160612" 0 70
"4" 7.34084 7.34084 2.06784 26.2869 7.34084 11.8947 "20160613" 85969.9 259
"5" 7.34084 7.34084 2.06784 26.2869 1.72771 7.34084 "20160614" 86594.3 254
"6" 7.34084 7.34084 2.06784 38.9176 1.72771 7.34084 "20160615" 86165.9 279
"7" 13.213 7.34084 7.34084 32.6023 12.954 11.8947 "20160616" 88242.3 396
"8" 24.9572 11.5893 2.06784 102.071 35.4065 25.5563 "20160617" 86635.7 680
"9" 24.9572 7.34084 7.34084 108.387 24.1802 11.8947 "20160618" 0 634
"10" 1.46872 3.09234 2.06784 32.6023 7.34084 2.78696 "20160619" 0 117
"11" 1.46872 3.09234 2.06784 19.9716 12.954 11.8947 "20160620" 86369.6 276
"12" 1.46872 7.34084 7.34084 19.9716 1.72771 2.78696 "20160621" 86069.8 218
"13" 1.46872 3.09234 2.06784 13.6562 1.72771 2.78696 "20160622" 85293.9 167
"14" 7.34084 3.09234 2.06784 13.6562 1.72771 7.34084 "20160623" 84975.5 179
"15" 0 0 0 0 0 0 "20160624" 89369.8 0
"16" 124.783 24.3348 96.9818 518.885 125.217 75.649 "20160625" 0 10016
"17" 1.46872 3.09234 2.06784 19.9716 1.72771 16.4486 "20160626" 0 141
"18" 1.46872 3.09234 7.34084 38.9176 7.34084 11.8947 "20160627" 89993.9 236
"19" 7.34084 3.09234 12.6138 64.1791 24.1802 11.8947 "20160628" 88950.2 401
"20" 1.46872 7.34084 7.34084 26.2869 7.34084 21.0025 "20160629" 89234.3 206
"21" 1.46872 3.09234 7.34084 26.2869 1.72771 16.4486 "20160630" 89214.7 189
"22" 7.34084 3.09234 12.6138 19.9716 1.72771 11.8947 "20160701" 90011.1 222
"23" 1.46872 3.09234 2.06784 1.02548 7.34084 11.8947 "20160702" 0 56
